label,x,y,z,coordinate_frame
Fp1,-29.4367,83.9171,-6.99,MNI / fsaverage MRI coordinates
Fpz,0.1123,88.247,-1.713,MNI / fsaverage MRI coordinates
Fp2,29.8723,84.8959,-7.08,MNI / fsaverage MRI coordinates
AF7,-54.8397,68.5722,-10.59,MNI / fsaverage MRI coordinates
AF3,-33.7007,76.8371,21.227,MNI / fsaverage MRI coordinates
AFz,0.2313,80.771,35.417,MNI / fsaverage MRI coordinates
AF4,35.7123,77.7259,21.956,MNI / fsaverage MRI coordinates
AF8,55.7433,69.6568,-10.755,MNI / fsaverage MRI coordinates
F9,-70.1019,41.6523,-49.952,MNI / fsaverage MRI coordinates
F7,-70.2629,42.4743,-11.42,MNI / fsaverage MRI coordinates
F5,-64.4658,48.0353,16.921,MNI / fsaverage MRI coordinates
F3,-50.2438,53.1112,42.192,MNI / fsaverage MRI coordinates
F1,-27.4958,56.9311,60.342,MNI / fsaverage MRI coordinates
Fz,0.3122,58.512,66.462,MNI / fsaverage MRI coordinates
F2,29.5142,57.6019,59.54,MNI / fsaverage MRI coordinates
F4,51.8362,54.3048,40.814,MNI / fsaverage MRI coordinates
F6,67.9142,49.8297,16.367,MNI / fsaverage MRI coordinates
F8,73.0431,44.4217,-12.0,MNI / fsaverage MRI coordinates
F10,72.1141,42.0667,-50.452,MNI / fsaverage MRI coordinates
FT9,-84.0759,14.5673,-50.429,MNI / fsaverage MRI coordinates
FT7,-80.775,14.1203,-11.135,MNI / fsaverage MRI coordinates
FC5,-77.2149,18.6433,24.46,MNI / fsaverage MRI coordinates
FC3,-60.1819,22.7162,55.544,MNI / fsaverage MRI coordinates
FC1,-34.0619,26.0111,79.987,MNI / fsaverage MRI coordinates
FCz,0.3761,27.39,88.668,MNI / fsaverage MRI coordinates
FC2,34.7841,26.4379,78.808,MNI / fsaverage MRI coordinates
FC4,62.2931,23.7228,55.63,MNI / fsaverage MRI coordinates
FC6,79.5341,19.9357,24.438,MNI / fsaverage MRI coordinates
FT8,81.8151,15.4167,-11.33,MNI / fsaverage MRI coordinates
FT10,84.1131,14.3647,-50.538,MNI / fsaverage MRI coordinates
T9,-85.8941,-15.8287,-48.283,MNI / fsaverage MRI coordinates
T7,-84.1611,-16.0187,-9.346,MNI / fsaverage MRI coordinates
C5,-80.2801,-13.7597,29.16,MNI / fsaverage MRI coordinates
C3,-65.3581,-11.6317,64.358,MNI / fsaverage MRI coordinates
C1,-36.158,-9.9839,89.752,MNI / fsaverage MRI coordinates
Cz,0.4009,-9.167,100.244,MNI / fsaverage MRI coordinates
C2,37.672,-9.6241,88.412,MNI / fsaverage MRI coordinates
C4,67.1179,-10.9003,63.58,MNI / fsaverage MRI coordinates
C6,83.4559,-12.7763,29.208,MNI / fsaverage MRI coordinates
T8,85.0799,-15.0203,-9.49,MNI / fsaverage MRI coordinates
T10,85.5599,-16.3613,-48.271,MNI / fsaverage MRI coordinates
TP9,-85.6192,-46.5147,-45.707,MNI / fsaverage MRI coordinates
TP7,-84.8302,-46.0217,-7.056,MNI / fsaverage MRI coordinates
CP5,-79.5922,-46.5507,30.949,MNI / fsaverage MRI coordinates
CP3,-63.5562,-47.0088,65.624,MNI / fsaverage MRI coordinates
CP1,-35.5131,-47.2919,91.315,MNI / fsaverage MRI coordinates
CPz,0.3858,-47.318,99.432,MNI / fsaverage MRI coordinates
CP2,38.3838,-47.0731,90.695,MNI / fsaverage MRI coordinates
CP4,66.6118,-46.6372,65.58,MNI / fsaverage MRI coordinates
CP6,83.3218,-46.1013,31.206,MNI / fsaverage MRI coordinates
TP8,85.5488,-45.5453,-7.13,MNI / fsaverage MRI coordinates
TP10,86.1618,-47.0353,-45.869,MNI / fsaverage MRI coordinates
P9,-73.0093,-73.7657,-40.998,MNI / fsaverage MRI coordinates
P7,-72.4343,-73.4527,-2.487,MNI / fsaverage MRI coordinates
P5,-67.2723,-76.2907,28.382,MNI / fsaverage MRI coordinates
P3,-53.0073,-78.7878,55.94,MNI / fsaverage MRI coordinates
P1,-28.6203,-80.5249,75.436,MNI / fsaverage MRI coordinates
Pz,0.3247,-81.115,82.615,MNI / fsaverage MRI coordinates
P2,31.9197,-80.4871,76.716,MNI / fsaverage MRI coordinates
P4,55.6667,-78.5602,56.561,MNI / fsaverage MRI coordinates
P6,67.8877,-75.9043,28.091,MNI / fsaverage MRI coordinates
P8,73.0557,-73.0683,-2.54,MNI / fsaverage MRI coordinates
P10,73.8947,-74.3903,-41.22,MNI / fsaverage MRI coordinates
PO7,-54.8404,-97.5279,2.792,MNI / fsaverage MRI coordinates
PO3,-36.5114,-100.8529,37.167,MNI / fsaverage MRI coordinates
POz,0.2156,-102.178,50.608,MNI / fsaverage MRI coordinates
PO4,36.7816,-100.8491,36.397,MNI / fsaverage MRI coordinates
PO8,55.6666,-97.6251,2.73,MNI / fsaverage MRI coordinates
O1,-29.4134,-112.449,8.839,MNI / fsaverage MRI coordinates
Oz,0.1076,-114.892,14.657,MNI / fsaverage MRI coordinates
O2,29.8426,-112.156,8.8,MNI / fsaverage MRI coordinates
Iz,0.0045,-118.565,-23.078,MNI / fsaverage MRI coordinates
