label,x,y,z,coordinate_frame
Fp1,-32.4367,80.9171,-7.79,MNI / fsaverage MRI coordinates
Fpz,-1.3877,86.247,-1.713,MNI / fsaverage MRI coordinates
Fp2,29.8723,83.8959,-6.28,MNI / fsaverage MRI coordinates
AF7,-53.3397,68.5722,-11.39,MNI / fsaverage MRI coordinates
AF3,-30.7007,77.8371,21.227,MNI / fsaverage MRI coordinates
AFz,-2.7687,82.771,36.217,MNI / fsaverage MRI coordinates
AF4,34.2123,80.7259,21.156,MNI / fsaverage MRI coordinates
AF8,55.7433,66.6568,-10.755,MNI / fsaverage MRI coordinates
F9,-68.6019,39.6523,-49.152,MNI / fsaverage MRI coordinates
F7,-67.2629,41.4743,-12.22,MNI / fsaverage MRI coordinates
F5,-67.4658,48.0353,16.921,MNI / fsaverage MRI coordinates
F3,-45.7438,52.1112,44.492,MNI / fsaverage MRI coordinates
F1,-27.4958,58.9311,59.542,MNI / fsaverage MRI coordinates
Fz,1.8122,61.512,66.462,MNI / fsaverage MRI coordinates
F2,32.5142,54.6019,60.34,MNI / fsaverage MRI coordinates
F4,48.8362,52.3048,40.014,MNI / fsaverage MRI coordinates
F6,66.4142,48.8297,16.367,MNI / fsaverage MRI coordinates
F8,73.0431,44.4217,-11.2,MNI / fsaverage MRI coordinates
F10,73.6141,43.0667,-51.252,MNI / fsaverage MRI coordinates
FT9,-81.0759,16.5673,-50.429,MNI / fsaverage MRI coordinates
FT7,-83.775,17.1203,-10.335,MNI / fsaverage MRI coordinates
FC5,-78.7149,15.6433,23.66,MNI / fsaverage MRI coordinates
FC3,-60.1819,20.7162,55.544,MNI / fsaverage MRI coordinates
FC1,-32.5619,25.0111,80.78699999999999,MNI / fsaverage MRI coordinates
FCz,3.3761,27.39,87.86800000000001,MNI / fsaverage MRI coordinates
FC2,31.7841,27.4379,78.808,MNI / fsaverage MRI coordinates
FC4,60.7931,25.7228,56.43,MNI / fsaverage MRI coordinates
FC6,79.5341,22.9357,23.638,MNI / fsaverage MRI coordinates
FT8,83.3151,12.4167,-11.33,MNI / fsaverage MRI coordinates
FT10,87.1131,12.3647,-49.738,MNI / fsaverage MRI coordinates
T9,-88.8941,-16.828699999999998,-49.083,MNI / fsaverage MRI coordinates
T7,-85.6611,-16.0187,-9.346,MNI / fsaverage MRI coordinates
C5,-80.2801,-12.7597,29.96,MNI / fsaverage MRI coordinates
C3,-68.8581,-6.6317,65.558,MNI / fsaverage MRI coordinates
C1,-33.158,-6.9839,89.752,MNI / fsaverage MRI coordinates
Cz,-2.5991,-12.167,101.044,MNI / fsaverage MRI coordinates
C2,36.172,-11.6241,87.61200000000001,MNI / fsaverage MRI coordinates
C4,67.1179,-11.9003,63.58,MNI / fsaverage MRI coordinates
C6,84.9559,-12.7763,30.008,MNI / fsaverage MRI coordinates
T8,88.0799,-14.0203,-10.29,MNI / fsaverage MRI coordinates
T10,82.5599,-14.3613,-48.271,MNI / fsaverage MRI coordinates
TP9,-87.1192,-43.5147,-44.907,MNI / fsaverage MRI coordinates
TP7,-84.8302,-49.0217,-7.856,MNI / fsaverage MRI coordinates
CP5,-78.0922,-48.5507,30.949,MNI / fsaverage MRI coordinates
CP3,-60.55619999999999,-48.0088,66.42399999999999,MNI / fsaverage MRI coordinates
CP1,-38.5131,-47.2919,90.515,MNI / fsaverage MRI coordinates
CPz,-1.1142,-46.318,99.432,MNI / fsaverage MRI coordinates
CP2,38.3838,-45.0731,91.495,MNI / fsaverage MRI coordinates
CP4,68.1118,-43.6372,64.78,MNI / fsaverage MRI coordinates
CP6,86.3218,-49.1013,31.206,MNI / fsaverage MRI coordinates
TP8,82.5488,-47.5453,-6.33,MNI / fsaverage MRI coordinates
TP10,84.6618,-48.0353,-46.669,MNI / fsaverage MRI coordinates
P9,-73.0093,-73.7657,-40.998,MNI / fsaverage MRI coordinates
P7,-70.9343,-72.4527,-1.687,MNI / fsaverage MRI coordinates
P5,-64.2723,-74.2907,27.582,MNI / fsaverage MRI coordinates
P3,-56.0073,-75.7878,55.94,MNI / fsaverage MRI coordinates
P1,-30.1203,-83.5249,76.236,MNI / fsaverage MRI coordinates
Pz,0.3247,-90.115,80.815,MNI / fsaverage MRI coordinates
P2,33.4197,-81.4871,76.716,MNI / fsaverage MRI coordinates
P4,58.6667,-78.5602,57.361,MNI / fsaverage MRI coordinates
P6,64.8877,-74.9043,27.291,MNI / fsaverage MRI coordinates
P8,71.5557,-71.0683,-2.54,MNI / fsaverage MRI coordinates
P10,73.8947,-71.3903,-40.42,MNI / fsaverage MRI coordinates
PO7,-53.3404,-100.5279,1.992,MNI / fsaverage MRI coordinates
PO3,-33.5114,-102.8529,37.167,MNI / fsaverage MRI coordinates
POz,-2.7844,-103.178,51.408,MNI / fsaverage MRI coordinates
PO4,35.2816,-100.8491,35.597,MNI / fsaverage MRI coordinates
PO8,55.6666,-96.6251,2.73,MNI / fsaverage MRI coordinates
O1,-27.9134,-110.449,9.639,MNI / fsaverage MRI coordinates
Oz,5.1076,-116.892,13.857,MNI / fsaverage MRI coordinates
O2,26.8426,-115.156,8.8,MNI / fsaverage MRI coordinates
Iz,-1.4955,-120.565,-22.278,MNI / fsaverage MRI coordinates
